GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
triangle-example,com.triangle.example,TriangleType,21,49,0,0,1,2,2,2,2,2
triangle-example,com.triangle.example,Triangle,2,109,4,36,1,25,4,20,0,4
